,target_market,score,cover_image,sugar_result,fiber_result,sodium_result,sugar_per_serving,fiber_per_serving,sodium_per_serving,calories_per_serving,serving_size,index,url,sugar_result_perc,fiber_result_perc,calories_result_ratio,file_name,cropped_path
35,Adult,70,http://cerealfacts.org/media/cereal_images/CFMultigrainSquares.jpg,13%,7%,383,4,2,115,110,30,36,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=36,13,7,3.66666666667,img_036_cfmultigrainsquares.jpg,../img/cropped/img_036_cfmultigrainsquares_cropped.png
36,Family,58,http://cerealfacts.org/media/cereal_images/CFPurelyOs.jpg,3%,10%,633,1,3,190,110,30,37,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=37,3,10,3.66666666667,img_037_cfpurelyos.jpg,../img/cropped/img_037_cfpurelyos_cropped.png
37,Adult,50,http://cerealfacts.org/media/cereal_images/CFRaisinBran.jpg,25%,11%,618,14,6,340,180,55,38,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=38,25,11,3.27272727273,img_038_cfraisinbran.jpg,../img/cropped/img_038_cfraisinbran_cropped.png
38,Family,54,http://cerealfacts.org/media/cereal_images/CFChocolateOs.jpg,29%,11%,339,8,3,95,100,28,39,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=39,29,11,3.57142857143,img_039_cfchocolateos.jpg,../img/cropped/img_039_cfchocolateos_cropped.png
39,Family,50,http://cerealfacts.org/media/cereal_images/CFFruitfulOs.jpg,29%,11%,464,8,3,130,100,28,40,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=40,29,11,3.57142857143,img_040_cffruitfulos.jpg,../img/cropped/img_040_cffruitfulos_cropped.png
40,Adult,50,http://cerealfacts.org/media/cereal_images/GMBasic4.jpg,24%,7%,509,13,4,280,200,55,41,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=41,24,7,3.63636363636,img_041_gmbasic4.jpg,../img/cropped/img_041_gmbasic4_cropped.png
41,Family,44,http://cerealfacts.org/media/cereal_images/GMBooBerry.jpg,30%,3%,576,10,1,190,130,33,42,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=42,30,3,3.93939393939,img_042_gmbooberry.jpg,../img/cropped/img_042_gmbooberry_cropped.png
42,Family,50,http://cerealfacts.org/media/cereal_images/GMCheeriosAppleCinnamon.jpg,33%,7%,383,10,2,115,120,30,43,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=43,33,7,4.0,img_043_gmcheeriosapplecinnamon.jpg,../img/cropped/img_043_gmcheeriosapplecinnamon_cropped.png
43,Family,46,http://cerealfacts.org/media/cereal_images/GMCheeriosBananaNut.jpg,32%,7%,571,9,2,160,100,28,44,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=44,32,7,3.57142857143,img_044_gmcheeriosbanananut.jpg,../img/cropped/img_044_gmcheeriosbanananut_cropped.png
44,Child,46,http://cerealfacts.org/media/cereal_images/GMCheeriosHoneyNut.jpg,32%,7%,571,9,2,160,110,28,45,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=45,32,7,3.92857142857,img_045_gmcheerioshoneynut.jpg,../img/cropped/img_045_gmcheerioshoneynut_cropped.png
45,Family,46,http://cerealfacts.org/media/cereal_images/GMCheeriosFrosted.jpg,32%,7%,607,9,2,170,110,28,46,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=46,32,7,3.92857142857,img_046_gmcheeriosfrosted.jpg,../img/cropped/img_046_gmcheeriosfrosted_cropped.png
46,Family,48,http://cerealfacts.org/media/cereal_images/GMCheeriosFruity.jpg,33%,7%,500,9,2,135,100,27,47,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=47,33,7,3.7037037037,img_047_gmcheeriosfruity.jpg,../img/cropped/img_047_gmcheeriosfruity_cropped.png
47,Family,56,http://cerealfacts.org/media/cereal_images/GMCheeriosMultigrain.jpg,21%,10%,414,6,3,120,110,29,48,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=48,21,10,3.79310344828,img_048_gmcheeriosmultigrain.jpg,../img/cropped/img_048_gmcheeriosmultigrain_cropped.png
48,Family,50,http://cerealfacts.org/media/cereal_images/GMCheeriosOatClusterCrunch.jpg,30%,7%,500,8,2,135,100,27,49,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=49,30,7,3.7037037037,img_049_gmcheeriosoatclustercrunch.jpg,../img/cropped/img_049_gmcheeriosoatclustercrunch_cropped.png
49,Family,70,http://cerealfacts.org/media/cereal_images/GMCheeriosRegular.jpg,4%,11%,571,1,3,160,100,28,50,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=50,4,11,3.57142857143,img_050_gmcheeriosregular.jpg,../img/cropped/img_050_gmcheeriosregular_cropped.png
50,Family,46,http://cerealfacts.org/media/cereal_images/GMCheeriosYogurtBurstStrawberry.jpg,30%,7%,600,9,2,180,120,30,51,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=51,30,7,4.0,img_051_gmcheeriosyogurtburststrawberry.jpg,../img/cropped/img_051_gmcheeriosyogurtburststrawberry_cropped.png
51,Family,48,http://cerealfacts.org/media/cereal_images/GMCheeriosMultigrainPeanutButter.jpg,32%,7%,464,9,2,130,110,28,52,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=52,32,7,3.92857142857,img_052_gmcheeriosmultigrainpeanutbutter.jpg,../img/cropped/img_052_gmcheeriosmultigrainpeanutbutter_cropped.png
52,Family,52,http://cerealfacts.org/media/cereal_images/GMCheeriosCinnamonBurst.jpg,28%,16%,391,9,5,125,110,32,53,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=53,28,16,3.4375,img_053_gmcheerioscinnamonburst.jpg,../img/cropped/img_053_gmcheerioscinnamonburst_cropped.png
53,Family,46,http://cerealfacts.org/media/cereal_images/GMCheeriosChocolate.jpg,33%,7%,630,9,2,170,100,27,54,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=54,33,7,3.7037037037,img_054_gmcheerioschocolate.jpg,../img/cropped/img_054_gmcheerioschocolate_cropped.png
54,Family,46,http://cerealfacts.org/media/cereal_images/GMChexChocolate.jpg,33%,7%,630,9,2,170,100,27,55,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=55,33,7,3.7037037037,img_055_gmchexchocolate.jpg,../img/cropped/img_055_gmchexchocolate_cropped.png
55,Family,46,http://cerealfacts.org/media/cereal_images/GMChexCinnamon.jpg,27%,3%,600,8,1,180,120,30,56,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=56,27,3,4.0,img_056_gmchexcinnamon.jpg,../img/cropped/img_056_gmchexcinnamon_cropped.png
56,Family,52,http://cerealfacts.org/media/cereal_images/GMChexCorn.jpg,10%,6%,774,3,2,240,120,31,57,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=57,10,6,3.87096774194,img_057_gmchexcorn.jpg,../img/cropped/img_057_gmchexcorn_cropped.png
57,Family,44,http://cerealfacts.org/media/cereal_images/GMChexHoneyNut.jpg,28%,3%,625,9,1,200,120,32,58,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=58,28,3,3.75,img_058_gmchexhoneynut.jpg,../img/cropped/img_058_gmchexhoneynut_cropped.png
58,Family,52,http://cerealfacts.org/media/cereal_images/GMChexMultiBran.jpg,21%,13%,574,10,6,270,160,47,59,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=59,21,13,3.40425531915,img_059_gmchexmultibran.jpg,../img/cropped/img_059_gmchexmultibran_cropped.png
