,target_market,score,cover_image,sugar_result,fiber_result,sodium_result,sugar_per_serving,fiber_per_serving,sodium_per_serving,calories_per_serving,serving_size,index,url,sugar_result_perc,fiber_result_perc,calories_result_ratio,file_name,cropped_path
59,Family,50,http://cerealfacts.org/media/cereal_images/GMChexRice.jpg,7%,4%,889,2,1,240,100,27,60,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=60,7,4,3.7037037037,img_060_gmchexrice.jpg,../img/cropped/img_060_gmchexrice_cropped.png
60,Family,56,http://cerealfacts.org/media/cereal_images/GMChexWheat.jpg,11%,13%,574,5,6,270,160,47,61,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=61,11,13,3.40425531915,img_061_gmchexwheat.jpg,../img/cropped/img_061_gmchexwheat_cropped.png
61,Child,40,http://cerealfacts.org/media/cereal_images/GMCinnamonToastCrunchRegular.jpg,32%,6%,710,10,2,220,130,31,62,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=62,32,6,4.1935483871,img_062_gmcinnamontoastcrunchregular.jpg,../img/cropped/img_062_gmcinnamontoastcrunchregular_cropped.png
62,Child,42,http://cerealfacts.org/media/cereal_images/GMFrenchToastCrunch.jpg,30%,3%,567,9,1,170,120,30,63,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=63,30,3,4.0,img_063_gmfrenchtoastcrunch.jpg,../img/cropped/img_063_gmfrenchtoastcrunch_cropped.png
63,Child,46,http://cerealfacts.org/media/cereal_images/GMCocoaPuffsBrownieCrunch.jpg,33%,7%,481,9,2,130,110,27,64,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=64,33,7,4.07407407407,img_064_gmcocoapuffsbrowniecrunch.jpg,../img/cropped/img_064_gmcocoapuffsbrowniecrunch_cropped.png
64,Child,44,http://cerealfacts.org/media/cereal_images/GMCocoaPuffsRegular.jpg,37%,7%,556,10,2,150,100,27,65,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=65,37,7,3.7037037037,img_065_gmcocoapuffsregular.jpg,../img/cropped/img_065_gmcocoapuffsregular_cropped.png
65,Child,46,http://cerealfacts.org/media/cereal_images/GMCookieCrispRegular.jpg,35%,4%,462,9,1,120,100,26,66,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=66,35,4,3.84615384615,img_066_gmcookiecrispregular.jpg,../img/cropped/img_066_gmcookiecrispregular_cropped.png
66,Child,48,http://cerealfacts.org/media/cereal_images/GMCookieCrispSprinkles.jpg,33%,4%,444,9,1,120,100,27,67,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=67,33,4,3.7037037037,img_067_gmcookiecrispsprinkles.jpg,../img/cropped/img_067_gmcookiecrispsprinkles_cropped.png
67,Family,42,http://cerealfacts.org/media/cereal_images/GMCountChocula.jpg,37%,4%,593,10,1,160,100,27,68,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=68,37,4,3.7037037037,img_068_gmcountchocula.jpg,../img/cropped/img_068_gmcountchocula_cropped.png
68,Adult,54,http://cerealfacts.org/media/cereal_images/GMCurvesFruitNutCrunch.jpg,20%,10%,490,10,5,240,170,49,69,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=69,20,10,3.4693877551,img_069_gmcurvesfruitnutcrunch.jpg,../img/cropped/img_069_gmcurvesfruitnutcrunch_cropped.png
69,Adult,54,http://cerealfacts.org/media/cereal_images/GMCurvesHoneyCrunch.jpg,17%,9%,547,9,5,290,190,53,70,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=70,17,9,3.58490566038,img_070_gmcurveshoneycrunch.jpg,../img/cropped/img_070_gmcurveshoneycrunch_cropped.png
70,Adult,52,http://cerealfacts.org/media/cereal_images/GMCurvesWholeGrainCrunch.jpg,15%,7%,667,4,2,180,100,27,71,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=71,15,7,3.7037037037,img_071_gmcurveswholegraincrunch.jpg,../img/cropped/img_071_gmcurveswholegraincrunch_cropped.png
71,Child,52,http://cerealfacts.org/media/cereal_images/GMDoraTheExplorer.jpg,22%,11%,556,6,3,150,100,27,72,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=72,22,11,3.7037037037,img_072_gmdoratheexplorer.jpg,../img/cropped/img_072_gmdoratheexplorer_cropped.png
72,Adult,54,http://cerealfacts.org/media/cereal_images/GMFiberOneCaramelDelight.jpg,20%,18%,460,10,9,230,180,50,73,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=73,20,18,3.6,img_073_gmfiberonecarameldelight.jpg,../img/cropped/img_073_gmfiberonecarameldelight_cropped.png
73,Adult,74,http://cerealfacts.org/media/cereal_images/GMFiberOneFrostedShreddedWheat.jpg,20%,15%,0,12,9,0,200,60,74,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=74,20,15,3.33333333333,img_074_gmfiberonefrostedshreddedwheat.jpg,../img/cropped/img_074_gmfiberonefrostedshreddedwheat_cropped.png
74,Adult,68,http://cerealfacts.org/media/cereal_images/GMFiberOneHoneyClusters.jpg,12%,25%,442,6,13,230,160,52,75,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=75,12,25,3.07692307692,img_075_gmfiberonehoneyclusters.jpg,../img/cropped/img_075_gmfiberonehoneyclusters_cropped.png
75,Adult,78,http://cerealfacts.org/media/cereal_images/GMFiberOneOriginalBran.jpg,0%,47%,350,0,14,105,60,30,76,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=76,0,47,2.0,img_076_gmfiberoneoriginalbran.jpg,../img/cropped/img_076_gmfiberoneoriginalbran_cropped.png
76,Adult,56,http://cerealfacts.org/media/cereal_images/GMFiberOneRaisinBranClusters.jpg,25%,20%,382,14,11,210,170,55,77,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=77,25,20,3.09090909091,img_077_gmfiberoneraisinbranclusters.jpg,../img/cropped/img_077_gmfiberoneraisinbranclusters_cropped.png
77,Adult,64,http://cerealfacts.org/media/cereal_images/GMFiberOne80CaloriesHoneySquares.jpg,10%,33%,467,3,10,140,80,30,78,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=78,10,33,2.66666666667,img_078_gmfiberone80calorieshoneysquares.jpg,../img/cropped/img_078_gmfiberone80calorieshoneysquares_cropped.png
78,Family,44,http://cerealfacts.org/media/cereal_images/GMFrankenBerry.jpg,30%,3%,576,10,1,190,130,33,79,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=79,30,3,3.93939393939,img_079_gmfrankenberry.jpg,../img/cropped/img_079_gmfrankenberry_cropped.png
79,Family,42,http://cerealfacts.org/media/cereal_images/GMGoldenGrahams.jpg,32%,6%,774,10,2,240,120,31,80,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=80,32,6,3.87096774194,img_080_gmgoldengrahams.jpg,../img/cropped/img_080_gmgoldengrahams_cropped.png
80,Adult,52,http://cerealfacts.org/media/cereal_images/GMHoneyNutClusters.jpg,25%,7%,509,14,4,290,210,57,81,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=81,25,7,3.68421052632,img_081_gmhoneynutclusters.jpg,../img/cropped/img_081_gmhoneynutclusters_cropped.png
81,Family,54,http://cerealfacts.org/media/cereal_images/GMKixBerryBerry.jpg,21%,6%,515,7,2,170,120,33,82,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=82,21,6,3.63636363636,img_082_gmkixberryberry.jpg,../img/cropped/img_082_gmkixberryberry_cropped.png
82,Family,52,http://cerealfacts.org/media/cereal_images/GMKixHoney.jpg,18%,9%,576,6,3,190,120,33,83,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=83,18,9,3.63636363636,img_083_gmkixhoney.jpg,../img/cropped/img_083_gmkixhoney_cropped.png
83,Family,56,http://cerealfacts.org/media/cereal_images/GMKixRegular.jpg,10%,10%,600,3,3,180,110,30,84,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=84,10,10,3.66666666667,img_084_gmkixregular.jpg,../img/cropped/img_084_gmkixregular_cropped.png
84,Child,42,http://cerealfacts.org/media/cereal_images/GMLuckyCharmsRegular.jpg,37%,7%,630,10,2,170,110,27,85,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=85,37,7,4.07407407407,img_085_gmluckycharmsregular.jpg,../img/cropped/img_085_gmluckycharmsregular_cropped.png
85,Child,42,http://cerealfacts.org/media/cereal_images/GMLuckyCharmsChocolate.jpg,36%,4%,571,10,1,160,110,28,86,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=86,36,4,3.92857142857,img_086_gmluckycharmschocolate.jpg,../img/cropped/img_086_gmluckycharmschocolate_cropped.png
86,Adult,58,http://cerealfacts.org/media/cereal_images/GMOatmealCrispCrunchyAlmond.jpg,27%,8%,208,16,5,125,230,60,87,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=87,27,8,3.83333333333,img_087_gmoatmealcrispcrunchyalmond.jpg,../img/cropped/img_087_gmoatmealcrispcrunchyalmond_cropped.png
87,Adult,56,http://cerealfacts.org/media/cereal_images/GMOatmealCrispHeartyRaisin.jpg,31%,8%,194,19,5,120,230,62,88,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=88,31,8,3.70967741935,img_088_gmoatmealcrispheartyraisin.jpg,../img/cropped/img_088_gmoatmealcrispheartyraisin_cropped.png
88,Adult,48,http://cerealfacts.org/media/cereal_images/GMRaisinNutBran.jpg,29%,10%,469,14,5,230,180,49,89,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=89,29,10,3.67346938776,img_089_gmraisinnutbran.jpg,../img/cropped/img_089_gmraisinnutbran_cropped.png
89,Child,38,http://cerealfacts.org/media/cereal_images/GMReesesPuffs.jpg,34%,3%,552,10,1,160,120,29,90,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=90,34,3,4.13793103448,img_090_gmreesespuffs.jpg,../img/cropped/img_090_gmreesespuffs_cropped.png
90,Adult,52,http://cerealfacts.org/media/cereal_images/GMTotalRaisinBran.jpg,32%,9%,434,17,5,230,160,53,91,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=91,32,9,3.01886792453,img_091_gmtotalraisinbran.jpg,../img/cropped/img_091_gmtotalraisinbran_cropped.png
91,Adult,52,http://cerealfacts.org/media/cereal_images/GMTotalWholeGrain.jpg,17%,10%,633,5,3,190,100,30,92,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=92,17,10,3.33333333333,img_092_gmtotalwholegrain.jpg,../img/cropped/img_092_gmtotalwholegrain_cropped.png
92,Adult,70,http://cerealfacts.org/media/cereal_images/GMTotalHoneyAlmondFlax.jpg,26%,8%,170,14,4,90,200,53,93,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=93,26,8,3.77358490566,img_093_gmtotalhoneyalmondflax.jpg,../img/cropped/img_093_gmtotalhoneyalmondflax_cropped.png
93,Child,42,http://cerealfacts.org/media/cereal_images/GMTrix.jpg,31%,3%,562,10,1,180,120,32,94,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=94,31,3,3.75,img_094_gmtrix.jpg,../img/cropped/img_094_gmtrix_cropped.png
94,Adult,52,http://cerealfacts.org/media/cereal_images/GMWheaties.jpg,15%,11%,704,4,3,190,100,27,95,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=95,15,11,3.7037037037,img_095_gmwheaties.jpg,../img/cropped/img_095_gmwheaties_cropped.png
