target_market,score,cover_image,sugar_result,fiber_result,sodium_result,sugar_per_serving,fiber_per_serving,sodium_per_serving,calories_per_serving,serving_size,index,url
Family,46,http://cerealfacts.org/media/cereal_images/GMChexChocolate.jpg,33%,7%,630,9,2,170,100,27,55,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=55
Family,46,http://cerealfacts.org/media/cereal_images/GMChexCinnamon.jpg,27%,3%,600,8,1,180,120,30,56,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=56
Family,52,http://cerealfacts.org/media/cereal_images/GMChexCorn.jpg,10%,6%,774,3,2,240,120,31,57,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=57
Family,44,http://cerealfacts.org/media/cereal_images/GMChexHoneyNut.jpg,28%,3%,625,9,1,200,120,32,58,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=58
Family,52,http://cerealfacts.org/media/cereal_images/GMChexMultiBran.jpg,21%,13%,574,10,6,270,160,47,59,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=59
Family,50,http://cerealfacts.org/media/cereal_images/GMChexRice.jpg,7%,4%,889,2,1,240,100,27,60,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=60
Family,56,http://cerealfacts.org/media/cereal_images/GMChexWheat.jpg,11%,13%,574,5,6,270,160,47,61,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=61
Child,40,http://cerealfacts.org/media/cereal_images/GMCinnamonToastCrunchRegular.jpg,32%,6%,710,10,2,220,130,31,62,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=62
Child,42,http://cerealfacts.org/media/cereal_images/GMFrenchToastCrunch.jpg,30%,3%,567,9,1,170,120,30,63,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=63
Child,46,http://cerealfacts.org/media/cereal_images/GMCocoaPuffsBrownieCrunch.jpg,33%,7%,481,9,2,130,110,27,64,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=64
Child,44,http://cerealfacts.org/media/cereal_images/GMCocoaPuffsRegular.jpg,37%,7%,556,10,2,150,100,27,65,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=65
Child,46,http://cerealfacts.org/media/cereal_images/GMCookieCrispRegular.jpg,35%,4%,462,9,1,120,100,26,66,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=66
